farmacia,nome,marca,ean_gtin,preco_de,preco_por,preco_cartao,preco_pix,desconto_pct,url,data_coleta
FarmaPonte,20 bi com 30 cápsulas,Momenta Farma,,230.0,230.0,230.01,225.4,0.0,https://www.farmaponte.com.br/20-bi-com-30-capsulas/p,2026-05-05 09:08:54
FarmaPonte,Apevitin Bc solução oral frasco com 240ml,EMS,7896004700502,61.05,17.0,17.0,10.03,72.15,https://www.farmaponte.com.br/apevitin-bc-susp-ems/p,2026-05-05 09:08:54
FarmaPonte,Dipirona Monoidratada Solução de Uso Oral 50mg mL com 100mL + Copo Medidor Aché Biosintética Genérico,Biosintética - Aché,7896181911036,19.42,16.51,16.51,16.18,14.98,https://www.farmaponte.com.br/dipirona-monoidratada-ache-50mgml-caixa-com-1-frasco-com-100ml-de-solucao-oral-1-copo-medidor/p,2026-05-05 09:08:54
FarmaPonte,"Tadalafila Eurofarma 20Mg, Caixa Com 4 Comprimidos Revestidos",Eurofarma,7891317127800,211.27,16.9,16.9,16.56,92.0,https://www.farmaponte.com.br/tadalafila-eurofarma-20mg-caixa-com-4-comprimidos-revestidos/p,2026-05-05 09:08:54
FarmaPonte,"Dulcolax 5Mg, Caixa Com 20 Drageas",Sanofi,7891058021528,20.47,20.47,20.47,20.06,0.0,https://www.farmaponte.com.br/dulcolax-5mg-caixa-com-20-drageas/p,2026-05-05 09:08:55
FarmaPonte,"Citrato De Sildenafila Eurofarma 50Mg, Caixa Com 4 Comprimidos Revestidos",Eurofarma,7891317477592,34.35,15.46,15.46,15.15,54.99,https://www.farmaponte.com.br/citrato-de-sildenafila-eurofarma-50mg-caixa-com-4-comprimidos-revestidos/p,2026-05-05 09:08:55
FarmaPonte,"Tadalafila Eurofarma 5Mg, Caixa Com 30 Comprimidos Revestidos",Eurofarma,7891317127725,396.19,31.7,31.7,31.07,92.0,https://www.farmaponte.com.br/tadalafila-eurofarma-5mg-caixa-com-30-comprimidos-revestidos/p,2026-05-05 09:08:55
FarmaPonte,Dipirona Gotas 10ml Germed,,7896004719115,8.09,2.35,2.35,2.3,70.95,https://www.farmaponte.com.br/dipirona-gts-10ml-ger/p,2026-05-05 09:08:55
FarmaPonte,"Citrato De Sildenafila Medley 50Mg, Caixa Com 4 Comprimidos Revestidos",Medley,7896422525190,18.7,15.34,15.34,15.03,17.97,https://www.farmaponte.com.br/citrato-de-sildenafila-medley-50mg-caixa-com-4-comprimidos-revestidos/p,2026-05-05 09:08:55
FarmaPonte,Simbioflora 15 Saches Com 6G De Po Para Solucao De Uso Oral,Farmoquímica,7898040323806,109.78,106.17,106.18,104.05,3.29,https://www.farmaponte.com.br/simbioflora-15-saches-com-6g-de-po-para-solucao-de-uso-oral/p,2026-05-05 09:08:56
FarmaPonte,Alenia em Pó de Uso Inalatório 12mcg + 400mcg com 60 Cápsulas Refil Aché,Aché,7896181928591,163.17,155.01,155.01,151.91,5.0,https://www.farmaponte.com.br/alenia-12mcg-400mcg-caixa-com-60-capsulas-gelatinosas-duras-com-po-de-uso-inalatorio-refil/p,2026-05-05 09:08:57
FarmaPonte,Sedatif Pc Com 60 Comprimidos,Boiron,7898927111014,109.99,58.99,58.99,57.81,46.37,https://www.farmaponte.com.br/sedatif-pc-com-60-comprimidos/p,2026-05-05 09:08:57
FarmaPonte,"Loceryl Esmalte 50Mg Ml, Caixa Com 1 Frasco Com 2,5Ml De Esmalte De Uso Dermatologico + 10 Espatulas + 30 Compressas + 30 Lixas",Galderma,7897930776722,241.79,172.4,172.41,168.95,28.7,https://www.farmaponte.com.br/loceryl-esmalte-50mgml-caixa-com-1-frasco-com-25ml-de-esmalte-de-uso-dermatologico-10-espatulas-30-compressas-30-lixas/p,2026-05-05 09:08:57
FarmaPonte,"Gino-Canesten 500Mg, Caixa Com 1 Comprimido Vaginal + 1 Aplicador",Bayer,7891106916059,109.99,96.96,96.96,95.02,11.85,https://www.farmaponte.com.br/gino-canesten-500mg-caixa-com-1-comprimido-vaginal-1-aplicador/p,2026-05-05 09:08:57
FarmaPonte,Niquitin 21Mg 7 Adesivos,Mappel Indústria de Embalagens,7898928257032,139.06,132.11,132.12,129.47,5.0,https://www.farmaponte.com.br/niquitin-adesivo-21mg-caixa-com-7-adesivos-transdermicos/p,2026-05-05 09:08:57
FarmaPonte,Colidis Gotas 10Ml,Aché,7896658028205,195.71,116.0,116.0,,40.73,https://www.farmaponte.com.br/colidis-gotas-10ml/p,2026-05-05 09:08:57
FarmaPonte,Colágeno Condres 90 Cápsulas,EMS,7894916515207,255.86,155.0,155.01,151.9,39.42,https://www.farmaponte.com.br/condres-40mg-caixa-com-90-capsulas/p,2026-05-05 09:08:58
FarmaPonte,Permanganato De Potassio 10 Comprimidos,,7891137003667,6.59,6.59,6.59,6.46,0.0,https://www.farmaponte.com.br/permanganato-potassio-10-x3adv/p,2026-05-05 09:08:58
FarmaPonte,Quiétude com 20 flaconetes,,7898927111304,150.0,141.99,142.0,139.15,5.34,https://www.farmaponte.com.br/quietude-com-20-flaconetes/p,2026-05-05 09:08:59
FarmaPonte,"Venocel 100Mg, Caixa Com 60 Capsulas Gelatinosas",Cifarma,7898495605977,45.44,40.9,40.9,40.08,9.99,https://www.farmaponte.com.br/venocel-100mg-caixa-com-60-capsulas-gelatinosas/p,2026-05-05 09:08:59
FarmaPonte,Odorizante De Ambiente Bendita Canfora 8 Tabletes,Bravir,7896186002548,15.9,15.9,15.9,15.58,0.0,https://www.farmaponte.com.br/odorizante-de-ambiente-bendita-canfora-8-tabletes/p,2026-05-05 09:08:59
FarmaPonte,Pantogar Neo com 60 Capsulas,Biolab,7896112400448,183.92,146.46,146.46,143.53,20.37,https://www.farmaponte.com.br/pantogar-neo-com-60-capsulas/p,2026-05-05 09:08:59
FarmaPonte,Leite De Magnesia Eno 350Ml,GSK,7896015591946,39.23,35.29,35.29,34.58,10.04,https://www.farmaponte.com.br/leite-de-magnesia-eno-350ml/p,2026-05-05 09:08:59
FarmaPonte,"Tadalafila Medley 20Mg, Caixa Com 4 Comprimidos Revestidos",Medley,7896422501682,63.89,23.64,23.64,13.0,63.0,https://www.farmaponte.com.br/tadalafila-medley-20mg-caixa-com-4-comprimidos-revestidos/p,2026-05-05 09:08:59
FarmaPonte,"Expec 0,4Mg Ml + 20Mg Ml + 4Mg Ml + 6Mg Ml, Caixa Com 1 Frasco Com 120Ml De Xarope",Legrand,,53.82,28.9,28.9,23.99,46.3,https://www.farmaponte.com.br/expec-04mgml-20mgml-4mgml-6mgml-caixa-com-1-frasco-com-120ml-de-xarope/p,2026-05-05 09:09:00
FarmaPonte,Complexo Senna Almeida Prado 46 60 comprimidos,Homeopatia Almeida Prado,7896026173018,41.83,39.68,39.68,,5.14,https://www.farmaponte.com.br/complexo-homeopatico-almeida-prado-no-46-0005g-002g-0015g-caixa-com-60-comprimidos/p,2026-05-05 09:09:00
FarmaPonte,"Tadalafila Medley 20Mg, Caixa Com 2 Comprimidos Revestidos",Medley,7896422501675,32.02,19.21,19.21,13.45,40.01,https://www.farmaponte.com.br/tadalafila-medley-20mg-caixa-com-2-comprimidos-revestidos/p,2026-05-05 09:09:00
FarmaPonte,Sildenafila 50mg Genérico Neo Química 4 Comprimidos Revestidos,Neo Química,7896714226705,34.3,9.68,9.68,9.49,71.78,https://www.farmaponte.com.br/sildenafila-50mg-4cpr-neo/p,2026-05-05 09:09:00
FarmaPonte,"Ciprofibrato Biolab Genericos 100Mg, Caixa Com 30 Comprimidos",Biolab Genéricos,7896112401193,63.3,42.41,42.41,41.56,33.0,https://www.farmaponte.com.br/ciprofibrato-biolab-genericos-100mg-caixa-com-30-comprimidos/p,2026-05-05 09:09:01
FarmaPonte,"Venocel 100Mg, Caixa Com 30 Capsulas Gelatinosas",Cifarma,7898495605960,27.23,17.4,17.4,17.05,36.1,https://www.farmaponte.com.br/venocel-100mg-caixa-com-30-capsulas-gelatinosas/p,2026-05-05 09:09:01
FarmaPonte,"Clortalidona Ems 25Mg, Caixa Com 60 Comprimidos",EMS,7896004706368,37.88,31.06,31.06,30.44,18.0,https://www.farmaponte.com.br/clortalidona-ems-25mg-caixa-com-60-comprimidos/p,2026-05-05 09:09:02
FarmaPonte,"Kollagenase 0,6U G, Caixa Com 1 Bisnaga Com 30G De Pomada De Uso Dermatologico + Espatula",Laboratório Cristália,7896676427745,76.63,70.5,70.5,69.09,8.0,https://www.farmaponte.com.br/kollagenase-06ug-caixa-com-1-bisnaga-com-30g-de-pomada-de-uso-dermatologico-espatula/p,2026-05-05 09:09:02
FarmaPonte,"Suplemento Calceos Kids Cereja, 200Ml",Myralis,7898430194467,78.21,62.0,62.0,60.76,20.73,https://www.farmaponte.com.br/suplemento-calceos-kids-morango-200ml/p,2026-05-05 09:09:02
FarmaPonte,"Sinvastatina Ems 20Mg, Caixa Com 30 Comprimidos Revestidos",EMS,7896004710761,53.83,11.93,11.93,10.74,77.84,https://www.farmaponte.com.br/sinvastatina-ems-20mg-caixa-com-30-comprimidos-revestidos/p,2026-05-05 09:09:02
FarmaPonte,NiQuitin Nicotina 14mg 7 Adesivos,Mappel Indústria de Embalagens,7898928257025,133.12,125.13,125.14,122.63,6.0,https://www.farmaponte.com.br/niquitin-14mg-7adesivos/p,2026-05-05 09:09:03
FarmaPonte,Spray Nasal Cimespray 9mg mL Cimed 50mL,,,11.89,7.88,7.88,7.72,33.73,https://www.farmaponte.com.br/spray-nasal-cimespray-9mg-ml-cimed-50ml/p,2026-05-05 09:09:03
FarmaPonte,Tamarine 12mg com 20 Cápsulas,Cosmed,7896094906594,110.0,103.0,103.0,100.94,6.36,https://www.farmaponte.com.br/tamarine-12mg-caixa-com-20-capsulas/p,2026-05-05 09:09:03
FarmaPonte,Pant Solucao Capilar 50Ml Com 3 Unidades,Aché,7896658035340,198.93,175.06,175.05,171.56,12.0,https://www.farmaponte.com.br/pant-50mg-sol-capilar-50ml-c-3un/p,2026-05-05 09:09:04
FarmaPonte,Fluconazol - Medley 150mg caixa com 2 cápsulas,,7896422505079,41.13,12.34,12.34,12.09,70.0,https://www.farmaponte.com.br/fluconazol-medley-150mg-caixa-com-2-capsulas/p,2026-05-05 09:09:05
FarmaPonte,Sal Amargo Farmax 30 Gramas,Farmax,7896902206458,4.0,4.0,4.0,,0.0,https://www.farmaponte.com.br/sal-amargo-farmax-30gr/p,2026-05-05 09:09:05
FarmaPonte,Latanoprosta 50mcg mL,Geolab,7899095238299,153.24,64.36,64.36,73.39,58.0,https://www.farmaponte.com.br/latanoprosta-005mg-col-geo/p,2026-05-05 09:09:05
FarmaPonte,"Tadalafila 5Mg Germed, Caixa Com 30 Comprimidos Revestidos",,7896004749716,106.03,16.0,16.0,15.68,84.91,https://www.farmaponte.com.br/tadalafila-5mg-germed-caixa-com-30-comprimidos-revestidos/p,2026-05-05 09:09:06
FarmaPonte,Oscillococcinum 30 Doses Boiron,Boiron,,299.91,288.0,288.0,282.24,3.97,https://www.farmaponte.com.br/zz-oscillococcinum-30doses-boiron/p,2026-05-05 09:09:06
FarmaPonte,Colaten Plenne Com 30 Saches,,7896226109718,256.33,230.7,230.7,226.09,10.0,https://www.farmaponte.com.br/colaten-plenne-com-30-saches/p,2026-05-05 09:09:06
FarmaPonte,"Tamarine 4,878Mg G + 4,719Mg G, Frasco Com 150G De Geleia Uso Oral, Zero Acucar",Cosmed,7897322709789,99.99,91.83,91.83,89.99,8.16,https://www.farmaponte.com.br/tamarine-4878mgg-4719mgg-frasco-com-150g-de-geleia-uso-oral-zero-acucar/p,2026-05-05 09:09:07
FarmaPonte,"Espironolactona Ems 100Mg, Caixa Com 30 Comprimidos",EMS,7896004716138,50.09,41.07,41.07,40.25,18.01,https://www.farmaponte.com.br/espironolactona-ems-100mg-caixa-com-30-comprimidos/p,2026-05-05 09:09:07
FarmaPonte,Dorflex 10 Comprimidos,Sanofi,7891058008628,8.51,8.51,8.51,8.34,0.0,https://www.farmaponte.com.br/dorflex-10cpr-x30/p,2026-05-05 09:09:08
FarmaPonte,"Rosuvastatina Calcica Ems 20Mg, Caixa Com 30 Comprimidos Revestidos",EMS,7896004728858,211.85,42.37,42.37,41.52,80.0,https://www.farmaponte.com.br/rosuvastatina-calcica-ems-20mg-caixa-com-30-comprimidos-revestidos/p,2026-05-05 09:09:08
FarmaPonte,"Sinvastatina Multilab Nova Quimica 20Mg, Caixa Com 30 Comprimidos Revestidos",Multilab,7895296449274,19.79,6.73,6.73,3.57,65.99,https://www.farmaponte.com.br/sinvastatina-multilab-20mg-caixa-com-30-comprimidos-revestidos/p,2026-05-05 09:09:09
FarmaPonte,"Salicetil 100Mg, Blister Com 10 Comprimidos",Brasterápica,7898100242757,2.44,2.44,2.44,2.39,0.0,https://www.farmaponte.com.br/salicetil-100mg-blister-com-10-comprimidos/p,2026-05-05 09:09:10
FarmaPonte,"Sal De Frutas Eno 2 Envelopes Com 5G De Po Efervescente De Uso Oral, Laranja",PF Consumer Healthcare,7896015560034,4.99,4.99,4.99,4.89,0.0,https://www.farmaponte.com.br/sal-de-frutas-eno-2-envelopes-com-5g-de-po-efervescente-de-uso-oral-laranja/p,2026-05-05 09:09:10
FarmaPonte,Aflexa colágeno 60 cápsulas,Kester,7908135001417,89.9,89.9,89.9,88.1,0.0,https://www.farmaponte.com.br/aflexa-60cps/p,2026-05-05 09:09:10
