farmacia,url,nome,marca,ean_gtin,preco_de,preco_por,desconto_pct,preco_cartao,data_coleta
FarmaPonte,https://www.farmaponte.com.br/dipirona-gts-10ml-ger/p,Dipirona Gotas 10ml Germed,,7896004719115,8.09,2.3,3.0,2.35,2026-05-04 13:25:47
FarmaPonte,https://www.farmaponte.com.br/tadalafila-eurofarma-5mg-caixa-com-30-comprimidos-revestidos/p,"Tadalafila Eurofarma 5Mg, Caixa Com 30 Comprimidos Revestidos",Eurofarma,7891317127725,396.19,31.07,43.0,31.7,2026-05-04 13:25:51
FarmaPonte,https://www.farmaponte.com.br/citrato-de-sildenafila-medley-50mg-caixa-com-4-comprimidos-revestidos/p,"Citrato De Sildenafila Medley 50Mg, Caixa Com 4 Comprimidos Revestidos",Medley,7896422525190,18.7,15.03,19.63,15.34,2026-05-04 13:25:54
FarmaPonte,https://www.farmaponte.com.br/dipirona-monoidratada-ache-50mgml-caixa-com-1-frasco-com-100ml-de-solucao-oral-1-copo-medidor/p,Dipirona Monoidratada Solução de Uso Oral 50mg mL com 100mL + Copo Medidor Aché Biosintética Genérico,Biosintética - Aché,7896181911036,19.42,16.18,16.68,16.51,2026-05-04 13:25:56
FarmaPonte,https://www.farmaponte.com.br/tadalafila-eurofarma-20mg-caixa-com-4-comprimidos-revestidos/p,"Tadalafila Eurofarma 20Mg, Caixa Com 4 Comprimidos Revestidos",Eurofarma,7891317127800,211.27,16.56,92.16,16.9,2026-05-04 13:25:58
FarmaPonte,https://www.farmaponte.com.br/dulcolax-5mg-caixa-com-20-drageas/p,"Dulcolax 5Mg, Caixa Com 20 Drageas",Sanofi,7891058021528,20.47,20.06,2.0,20.47,2026-05-04 13:26:01
FarmaPonte,https://www.farmaponte.com.br/citrato-de-sildenafila-eurofarma-50mg-caixa-com-4-comprimidos-revestidos/p,"Citrato De Sildenafila Eurofarma 50Mg, Caixa Com 4 Comprimidos Revestidos",Eurofarma,7891317477592,34.35,15.15,55.9,15.46,2026-05-04 13:26:04
FarmaPonte,https://www.farmaponte.com.br/apevitin-bc-susp-ems/p,Apevitin Bc solução oral frasco com 240ml,EMS,7896004700502,61.05,15.62,74.41,26.47,2026-05-04 13:26:07
FarmaPonte,https://www.farmaponte.com.br/20-bi-com-30-capsulas/p,20 bi com 30 cápsulas,Momenta Farma,,230.0,225.4,2.0,76.67,2026-05-04 13:26:08
FarmaPonte,https://www.farmaponte.com.br/sedatif-pc-com-60-comprimidos/p,Sedatif Pc Com 60 Comprimidos,Boiron,7898927111014,109.99,57.81,47.44,58.99,2026-05-04 13:26:11
FarmaPonte,https://www.farmaponte.com.br/alenia-12mcg-400mcg-caixa-com-60-capsulas-gelatinosas-duras-com-po-de-uso-inalatorio-refil/p,Alenia em Pó de Uso Inalatório 12mcg + 400mcg com 60 Cápsulas Refil Aché,Aché,7896181928591,163.17,151.91,6.9,51.67,2026-05-04 13:26:13
FarmaPonte,https://www.farmaponte.com.br/permanganato-potassio-10-x3adv/p,Permanganato De Potassio 10 Comprimidos,,7891137003667,6.59,6.46,1.97,6.59,2026-05-04 13:26:15
FarmaPonte,https://www.farmaponte.com.br/simbioflora-15-saches-com-6g-de-po-para-solucao-de-uso-oral/p,Simbioflora 15 Saches Com 6G De Po Para Solucao De Uso Oral,Farmoquímica,7898040323806,109.78,104.05,5.22,53.09,2026-05-04 13:26:19
FarmaPonte,https://www.farmaponte.com.br/condres-40mg-caixa-com-90-capsulas/p,Colágeno Condres 90 Cápsulas,EMS,7894916515207,255.86,151.9,40.63,51.67,2026-05-04 13:26:22
FarmaPonte,https://www.farmaponte.com.br/odorizante-de-ambiente-bendita-canfora-8-tabletes/p,Odorizante De Ambiente Bendita Canfora 8 Tabletes,Bravir,7896186002548,14.75,14.46,1.97,14.75,2026-05-04 13:26:24
FarmaPonte,https://www.farmaponte.com.br/niquitin-adesivo-21mg-caixa-com-7-adesivos-transdermicos/p,Niquitin 21Mg 7 Adesivos,Mappel Indústria de Embalagens,7898928257032,139.06,129.47,6.0,66.06,2026-05-04 13:26:27
FarmaPonte,https://www.farmaponte.com.br/gino-canesten-500mg-caixa-com-1-comprimido-vaginal-1-aplicador/p,"Gino-Canesten 500Mg, Caixa Com 1 Comprimido Vaginal + 1 Aplicador",Bayer,7891106916059,109.99,95.02,13.61,96.96,2026-05-04 13:26:29
FarmaPonte,https://www.farmaponte.com.br/tadalafila-medley-20mg-caixa-com-2-comprimidos-revestidos/p,"Tadalafila Medley 20Mg, Caixa Com 2 Comprimidos Revestidos",Medley,7896422501675,32.02,13.45,58.0,19.21,2026-05-04 13:26:31
FarmaPonte,https://www.farmaponte.com.br/colidis-gotas-10ml/p,Colidis Gotas 10Ml,Aché,7896658028205,195.69,139.9,28.51,69.95,2026-05-04 13:26:35
FarmaPonte,https://www.farmaponte.com.br/venocel-100mg-caixa-com-60-capsulas-gelatinosas/p,"Venocel 100Mg, Caixa Com 60 Capsulas Gelatinosas",Cifarma,7898495605977,45.44,40.08,11.8,40.9,2026-05-04 13:26:37
FarmaPonte,https://www.farmaponte.com.br/leite-de-magnesia-eno-350ml/p,Leite De Magnesia Eno 350Ml,GSK,7896015591946,39.23,34.58,11.85,35.29,2026-05-04 13:26:41
FarmaPonte,https://www.farmaponte.com.br/loceryl-esmalte-50mgml-caixa-com-1-frasco-com-25ml-de-esmalte-de-uso-dermatologico-10-espatulas-30-compressas-30-lixas/p,"Loceryl Esmalte 50Mg Ml, Caixa Com 1 Frasco Com 2,5Ml De Esmalte De Uso Dermatologico + 10 Espatulas + 30 Compressas + 30 Lixas",Galderma,7897930776722,241.79,168.95,30.13,57.47,2026-05-04 13:26:45
FarmaPonte,https://www.farmaponte.com.br/complexo-homeopatico-almeida-prado-no-46-0005g-002g-0015g-caixa-com-60-comprimidos/p,Complexo Senna Almeida Prado 46 60 comprimidos,Homeopatia Almeida Prado,7896026173018,41.83,39.68,5.14,39.68,2026-05-04 13:26:47
FarmaPonte,https://www.farmaponte.com.br/tadalafila-medley-20mg-caixa-com-4-comprimidos-revestidos/p,"Tadalafila Medley 20Mg, Caixa Com 4 Comprimidos Revestidos",Medley,7896422501682,63.89,13.0,79.65,23.64,2026-05-04 13:26:50
FarmaPonte,https://www.farmaponte.com.br/quietude-com-20-flaconetes/p,Quiétude com 20 flaconetes,,7898927111304,150.0,139.15,7.23,71.0,2026-05-04 13:26:53
FarmaPonte,https://www.farmaponte.com.br/pantogar-neo-com-60-capsulas/p,Pantogar Neo com 60 Capsulas,Biolab,7896112400448,183.92,143.53,21.96,73.23,2026-05-04 13:26:57
