data_coleta,farmacia,ean,produto,marca,preco_regular,preco_pix,preco_cartao,desconto,status_estoque,url
2026-05-03,Vera Cruz,7898040329952,Xarope Sedavan 6mg/ml Sabor Framboesa 100ml,Divcom Pharma,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/xarope-sedavan-6mgml-sabor-framboesa-100ml/p
2026-05-03,Vera Cruz,7896382707278,Caneta para Aplicação de Insulina HumaPen Savvio,Eli Lilly,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Fora de Estoque,https://www.drogariaveracruz.com.br/caneta-para-aplicacao-de-insulina-humapen-savvio/p
2026-05-03,Vera Cruz,7896637033848,Zanidip 20mg 30 comprimidos,Apsen,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/zanidip-20mg-30-comprimidos-revestidos/p
2026-05-03,Vera Cruz,7898258951006,Mel Baldoni Turma Da Mônica Laranjeira Bisnaga 300g,Baldoni,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Fora de Estoque,https://www.drogariaveracruz.com.br/mel-baldoni-turma-da-monica-laranjeira-bisnaga-300g/p
2026-05-03,Vera Cruz,7896658000379,Famox Famotidina 20mg Com 10 comprimidos,Ache,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Fora de Estoque,https://www.drogariaveracruz.com.br/famox-famotidina-20mg-com-10-comprimidos/p
2026-05-03,Vera Cruz,7891721021046,Floratil Pack 250mg + 200mg 6 cápsulas,Divcom Pharma,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Fora de Estoque,https://www.drogariaveracruz.com.br/floratil-pack-250mg-200mg-6-capsulas/p
2026-05-03,Vera Cruz,7898258953192,Spray de Própolis Baldoni Própion Mel e Gengibre 30ml,Baldoni,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/spray-de-propolis-baldoni-propion-mel-e-gengibre-30ml/p
2026-05-03,Vera Cruz,7898037086639,Belladonna D1 Almeida Prado Pomada 25g,Almeida Prado,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/belladonna-d1-almeida-prado-pomada-25g/p
2026-05-03,Vera Cruz,7896269901959,Zinnat 250mg/5ml 1 Frasco Com 70ml de Pó Para Suspensão de Uso Oral,Gsk,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/zinnat-250mg5ml-1-frasco-com-70ml-de-po-para-suspensao-de-uso-oral/p
2026-05-03,Vera Cruz,7896108002342,Óleo de Prímula 500mg Bionatus 45 Cápsulas,Bionatus,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Fora de Estoque,https://www.drogariaveracruz.com.br/oleo-de-primula-500mg-bionatus-45-capsulas/p
2026-05-03,Vera Cruz,7896261020184,Seebri 50mcg 30 cápsulas com pó para inalação + 1 inalador,Novartis,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Fora de Estoque,https://www.drogariaveracruz.com.br/seebri-50mcg-30-capsulas-com-po-para-inalacao-1-inalador/p
2026-05-03,Vera Cruz,7897851220823,Ziprol 28 Comprimidos Revestidos 40mg,Baldacci,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/ziprol-28-comprimidos-revestidos-40mg/p
2026-05-03,Vera Cruz,7891317033149,Coltrax 4mg 20 comprimidos,Sanofi,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Fora de Estoque,https://www.drogariaveracruz.com.br/coltrax-4mg-20-comprimidos/p
2026-05-03,Vera Cruz,7896006216605,Xantinon Complex 100ml,União Química,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/xantinon-complex-100ml/p
2026-05-03,Vera Cruz,7896094210080,Plenance EZE 20mg+10mg 30 Cápsulas,Libbs,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/plenance-eze-20mg10mg-30-capsulas/p
